"","plantID","Plot","yearT","sizeT","pflowerT","fertilityT","survival","sizeT1"
"113","T3.SJ12","T3",2004,7.98349229334458,0,NA,1,8.30421617299766
"114","T3.SJ13","T3",2004,6.48386924691769,0,NA,1,6.72257113714775
"115","T3.SJ14","T3",2004,8.74667346989989,0,NA,1,8.46487071578427
"116","T3.SJ15","T3",2004,8.22664853392403,0,NA,1,8.64175221490409
"117","T3.SJ19","T3",2004,6.8342443887079,0,NA,1,6.20692927099781
"118","T3.SJ3","T3",2004,5.03655018396003,0,NA,1,2.12555913886113
"119","T3.SJ5","T3",2004,7.94712464917371,0,NA,1,7.65845443434904
"120","T3.SJ9","T3",2004,7.50083754654529,0,NA,1,7.40931791657661
"121","HT1B1.HT1B1","HT1B1",2005,-3.34265726448231,0,NA,1,NA
"122","HT2B3.HT2B3","HT2B3",2005,-4.29668832433931,0,NA,0,NA
"123","HT2B3.HT2B3","HT2B3",2005,-3.27811874334474,0,NA,0,NA
"124","HT2B3.HT2B3","HT2B3",2005,-2.25646749581275,0,NA,0,NA
"125","HT2B3.HT2B3","HT2B3",2005,-2.87265363523657,0,NA,0,NA
"126","HT3B1.HT3B1","HT3B1",2005,-3.41165013596926,0,NA,0,NA
"127","HT3B1.HT3B1","HT3B1",2005,-3.34265726448231,0,NA,0,NA
"128","HT3B2.HT3B2","HT3B2",2005,-2.29728949033301,0,NA,1,NA
"129","HT3B2.HT3B2","HT3B2",2005,-3.36187675161554,0,NA,1,NA
"130","HT3B2.HT3B2","HT3B2",2005,-3.10626848641808,0,NA,0,NA
"131","HT3B2.HT3B2","HT3B2",2005,-3.36187675161554,0,NA,0,NA
"132","HT3B3.HT3B3","HT3B3",2005,-2.43082088295753,0,NA,0,NA
"133","HT4B1.HT4B1","HT4B1",2005,-4.78219614012101,0,NA,0,NA
"134","HT4B2.HT4B2","HT4B2",2005,-3.41165013596926,0,NA,0,NA
"135","T1.AD10","T1",2005,11.088741388495,1,3,1,11.5353265355342
"136","T1.AD11","T1",2005,10.0923978208778,1,3,1,10.285036666406
"137","T1.AD14","T1",2005,12.0538917313944,1,13,1,13.0428097525813
"138","T1.AD15","T1",2005,10.5889559056717,1,2,1,10.7576311527864
"139","T1.AD16","T1",2005,11.5539124229025,1,4,1,11.1980158034739
"140","T1.AD17","T1",2005,11.2464661691667,1,18,1,11.2775567562367
"141","T1.AD18","T1",2005,11.0750540923391,1,11,1,10.891817007543
"142","T1.AD19","T1",2005,11.1279543300714,1,11,1,11.075586344554
"143","T1.AD20","T1",2005,11.5917068689703,1,7,1,10.8658958815916
"144","T1.AD21","T1",2005,12.3652747575863,1,6,1,12.3919521850866
